CustomerID	LoyaltyPoints	MembershipStatus
ALFKI	1200	Gold
ANATR	850	Silver
ANTON	300	Bronze
AROUT	950	Silver
BERGS	1100	Gold
BLAUS	400	Bronze
BLONP	700	Silver
BOLID	1500	Platinum
BONAP	650	Silver
BOTTM	500	Bronze
BSBEV	1350	Gold
CACTU	900	Silver
CENTC	1000	Gold
CHOPS	450	Bronze
COMMI	700	Silver
CONSH	1300	Gold
DRACD	780	Silver
DUMON	300	Bronze
EASTC	1600	Platinum
ERNSH	1400	Gold
FAMIA	750	Silver
FISSA	600	Bronze
FOLIG	950	Silver
FOLKO	1050	Gold
FRANK	1150	Gold
FRANR	580	Bronze
FURIB	670	Silver
GALED	1200	Gold
GODOS	400	Bronze
GOURL	890	Silver
GREAL	920	Silver
GROSR	500	Bronze
HANAR	1280	Gold
HILAA	530	Bronze
HUNGC	1470	Gold
HUNGO	350	Bronze
ISLAT	860	Silver
KOENE	1440	Gold
LACOR	780	Silver
LAMAI	620	Bronze
LAUGB	1300	Gold
LAZYK	560	Bronze
LEHMS	900	Silver
LETSS	1010	Gold
LILAS	590	Bronze
LONEP	870	Silver
MAGAA	1500	Platinum
MAISD	920	Silver
MEREP	1030	Gold
MORGK	880	Silver
NORTS	510	Bronze
OCEAN	1340	Gold
OLDWO	490	Bronze
OTTIK	770	Silver
PARIS	1410	Gold
PERIC	880	Silver
PICCO	1080	Gold
PRINI	690	Silver
QUEDE	750	Silver
QUEEN	840	Silver
QUICK	470	Bronze
RANCH	890	Silver
RATTC	520	Bronze
REGGC	970	Silver
RICAR	880	Silver
RICSU	1050	Gold
ROMEY	540	Bronze
SANTG	620	Bronze
SAVEA	920	Silver
SEVES	1100	Gold
SIMOB	590	Bronze
SPECD	680	Silver
SPLIR	900	Silver
SUPRD	1020	Gold
THEBI	850	Silver
THECR	560	Bronze
TOMSP	1450	Gold
TORTU	940	Silver
TRADH	970	Silver
TRAIH	480	Bronze
VAFFE	870	Silver
VICTE	920	Silver
VINET	880	Silver
WANDK	1350	Gold
WARTH	560	Bronze
WELLI	1040	Gold
WHITC	490	Bronze
WILMK	750	Silver
WOLZA	900	Silver
